seconds_remaining,ev_rush,ev_normal,ev_gain,rush_is_optimal
10,0.1481,0.1776,-0.0294,False
12,0.1379,0.1818,-0.0439,False
14,0.2083,0.3678,-0.1595,False
16,0.0833,0.2297,-0.1464,False
18,0.16,0.1364,0.0236,True
20,0.3,0.1829,0.1171,True
22,0.2188,0.1867,0.0321,True
24,0.125,0.1757,-0.0507,False
26,0.0833,0.2128,-0.1294,False
28,0.04,0.25,-0.21,False
30,0.0769,0.2,-0.1231,False
32,0.1951,0.2478,-0.0527,False
34,0.2195,0.2703,-0.0508,False
36,0.2692,0.15,0.1192,True
38,0.2593,0.0893,0.17,True
40,0.1304,0.2857,-0.1553,False
42,0.2308,0.3889,-0.1581,False
44,0.3077,0.2917,0.016,True
46,0.3438,0.35,-0.0062,False
48,0.4444,0.2833,0.1611,True
50,0.1739,0.2679,-0.0939,False
52,0.1667,0.2889,-0.1222,False
54,0.2667,0.2632,0.0035,True
56,0.2857,0.25,0.0357,True
58,0.2121,0.2,0.0121,True
60,0.16,0.3333,-0.1733,False
62,0.1923,0.25,-0.0577,False
64,0.4,0.2051,0.1949,True
