seconds_remaining,ev_timeout,ev_play_on,ev_gain,n_timeout,n_play_on,timeout_is_optimal
20,0.3947,0.4024,-0.0077,38,410,False
22,0.4048,0.4044,0.0004,42,408,True
24,0.4,0.395,0.005,40,400,True
26,0.4242,0.3902,0.0341,33,387,True
28,0.4231,0.3954,0.0277,26,392,True
30,0.5263,0.3976,0.1287,19,420,True
32,0.4667,0.3788,0.0878,15,425,True
34,0.3571,0.3716,-0.0144,14,436,False
36,0.4375,0.3973,0.0402,16,438,True
38,0.3571,0.3788,-0.0217,14,425,False
40,0.3077,0.3821,-0.0744,13,424,False
42,0.4167,0.3811,0.0356,12,433,True
44,0.3846,0.3735,0.0111,13,423,True
46,0.4,0.3815,0.0185,15,422,True
48,0.3571,0.3918,-0.0347,14,416,False
50,0.4615,0.3842,0.0773,13,419,True
